GEOID10,nitr_mean,canrate,predicted_cancer,residual
55037190100,4.591654053818322,0.03,0.10457969624785105,-0.07457969624785105
55037190200,3.412275150909266,0.11,0.09798295016028664,0.012017049839713356
55019950300,5.11687472992307,0.09,0.10751746919906781,-0.01751746919906781
55019950700,4.506810104175773,0.01,0.10410512951490589,-0.09410512951490589
55019950600,4.012492795166557,0.13,0.10134021167028563,0.028659788329714372
55019950800,5.153031357419593,0.28,0.1077197079286134,0.17228029207138662
55019950200,5.307466713162719,0.14,0.10858352771228699,0.03141647228771302
55019950500,5.524880212744359,0.1,0.10979960987995271,-0.009799609879952709
55019950400,5.74831151613629,0.15,0.11104935207294478,0.038950647927055215
55019950100,5.069194752679773,0.05,0.107250775685593,-0.057250775685593
55031021100,-1.209870723244899,0.01,0.07212940755725293,-0.06212940755725293
55031990000,0.31822537226872,0.07,0.08067667079440041,-0.010676670794400406
55031020900,-1.020083184006218,0.01,0.07319096648785031,-0.06319096648785032
55031020600,-1.208885647728383,0.01,0.07213491748543929,-0.06213491748543929
55031020500,-1.213737353923332,0.01,0.07210777991855506,-0.06210777991855506
55031020400,-1.20844144402922,0.01,0.07213740209747306,-0.06213740209747306
55049950600,6.769463959301686,0.15,0.11676107318957865,0.03323892681042134
55049950400,9.473997371281012,0.13,0.13188862902439552,-0.0018886290243955162
55049950300,4.878710956912794,0.52,0.10618532230892944,0.4138146776910706
55049950500,8.521898679746636,0.63,0.12656315363827284,0.5034368463617271
55049950200,7.890004031898809,0.61,0.12302870975797181,0.4869712902420282
55049950100,8.888961333904293,0.58,0.1286162844190023,0.45138371558099766
55031020300,-1.216214970094647,0.01,0.07209392160317882,-0.062093921603178816
55031020800,-0.776013043257069,0.02,0.07455615009602479,-0.05455615009602478
55031020700,-1.025972000987035,0.04,0.07315802793834535,-0.033158027938345346
55031030200,-0.444875145307554,0.11,0.07640833909767188,0.033591660902328124
55031030300,0.926818755986545,0.54,0.0840807812232502,0.45591921877674985
55031030100,0.489248499897613,0.16,0.08163327273571556,0.07836672726428444
55031021000,0.191787947891904,0.01,0.079969454833082,-0.069969454833082
55059002300,5.07441997744344,0.01,0.10728000249381497,-0.09728000249381498
55059002200,4.838084180996528,0.01,0.10595808022039035,-0.09595808022039036
55059002100,5.140639021836009,0.01,0.10765039255331277,-0.09765039255331277
55059001800,4.988878946686024,0.01,0.10680153670255542,-0.09680153670255542
55059001700,4.793286080723652,0.01,0.10570750621743297,-0.09570750621743297
55059001300,5.857283609765285,0.01,0.11165887733283167,-0.10165887733283167
55059001200,5.222519178059375,0.01,0.10810838158371118,-0.09810838158371119
55059001100,4.998283390009715,0.01,0.10685413958068751,-0.09685413958068752
55059000900,5.405073237658014,0.01,0.10912948071941378,-0.09912948071941378
55059000800,5.570098114777362,0.01,0.1100525320049698,-0.1000525320049698
55047100600,4.026199096999023,0.44,0.1014168765934628,0.3385831234065372
55047100500,4.856796817553531,0.28,0.10606274761073534,0.1739372523892647
55047100400,2.290816970718815,0.28,0.09171017824255044,0.18828982175744957
55047100300,2.146966611303259,0.49,0.09090556465032099,0.39909443534967903
55015020800,-0.030122665201543,0.01,0.07872821847969093,-0.06872821847969093
55015020700,1.093030966227542,0.01,0.08501047374607575,-0.07501047374607575
55047100200,1.637258037939172,0.01,0.0880545572015326,-0.0780545572015326
55047100100,1.397943106161614,0.08,0.08671597141200786,-0.0067159714120078595
55015020308,0.518391233251593,0.03,0.08179627990140217,-0.051796279901402176
55015020303,-1.066041376462919,0.01,0.07293390361727287,-0.06293390361727287
55015020304,-0.376125601674709,0.01,0.0767928832690685,-0.0667928832690685
55015020306,0.956269267517857,0.14,0.0842455099175161,0.05575449008248391
55061960500,3.252607292588784,0.14,0.09708986286061783,0.04291013713938219
55051180300,0.053448537034161,0.11,0.07919566621851482,0.030804333781485185
55061960400,2.948264726666851,0.24,0.09538755105389252,0.14461244894610747
55051180100,0.193278345148149,0.01,0.07997779123137165,-0.06997779123137166
55061960200,3.930020152612574,0.14,0.10087890862276025,0.039121091377239764
55051180200,-0.00354045527696,0.12,0.07887690359597228,0.04112309640402771
55051990000,-0.60802334972737,0.05,0.07549578480613342,-0.025495784806133417
55057100300,4.302320374952784,0.09,0.102961335253476,-0.012961335253476008
55057100500,4.415820330205995,0.01,0.10359618668579222,-0.09359618668579223
55057100600,4.024864880821775,0.08,0.10140941377949732,-0.021409413779497316
55055101702,3.251143518287218,0.26,0.09708167537534645,0.16291832462465355
55055100300,2.922320902037128,0.05,0.09524243668632121,-0.045242436686321205
55055100200,2.782977891028129,0.01,0.09446303452774797,-0.08446303452774798
55055100100,2.850956498065098,0.02,0.09484326653707346,-0.07484326653707346
55055100400,4.447869344094865,0.39,0.10377544986106203,0.286224550138938
55061960100,3.495264223903896,0.01,0.09844714181339961,-0.08844714181339962
55057100200,3.796395875293961,0.11,0.10013149366864253,0.009868506331357468
55057100400,4.227090049956628,0.04,0.10254054143491567,-0.06254054143491566
55057100700,4.30183712951014,0.13,0.10295863226508505,0.02704136773491496
55057100100,3.042129163637694,0.38,0.09591257304285766,0.28408742695714234
55055101100,4.479443864004087,0.03,0.10395205899843435,-0.07395205899843435
55055101202,4.912737495356157,0.07,0.10637564658367774,-0.03637564658367773
55055101500,5.137184210563063,0.02,0.10763106838811712,-0.08763106838811711
55055101400,5.087837722403927,0.01,0.10735505340099477,-0.09735505340099478
55055101300,5.12516780301498,0.01,0.10756385573128235,-0.09756385573128236
55055100900,4.854043070778134,0.47,0.10604734478453424,0.3639526552154657
55055101701,3.469491437885843,0.18,0.09830298413437817,0.08169701586562182
55055100800,3.224297508233249,0.35,0.09693151471760243,0.25306848528239756
55055101600,6.753318250975282,0.33,0.11667076367329814,0.21332923632670187
55055100601,6.186936941845643,0.14,0.11350276255350987,0.026497237446490143
55055101000,4.247969662841748,0.01,0.10265732960559604,-0.09265732960559604
55055100700,4.130857822617897,0.22,0.10200227543098044,0.11799772456901957
55055100602,5.222231307100275,0.27,0.10810677140430362,0.16189322859569638
55055101201,7.173157153482535,0.27,0.1190190934854481,0.15098090651455193
55055100500,4.481689707751064,0.04,0.1039646209163342,-0.0639646209163342
55063001200,3.707395159009441,0.0,0.0996336764485005,-0.0996336764485005
55063001000,4.215089845640144,0.01,0.10247341940934825,-0.09247341940934825
55015020600,2.592895720392096,0.14,0.09339982760386112,0.046600172396138895
55015020500,1.631488222892885,0.11,0.08802228427826878,0.021977715721731225
55015020200,0.854728411045131,0.35,0.08367755059077882,0.2663224494092212
55063001101,3.685461966059164,0.01,0.09951099517581906,-0.08951099517581906
55063000800,4.892615820379586,0.01,0.10626309786812116,-0.09626309786812116
55063000500,5.08163014220849,0.0,0.1073203318791272,-0.1073203318791272
55063000600,5.170918158592083,0.01,0.10781975608562437,-0.09781975608562438
55063000100,4.847066675585388,0.02,0.10600832296755962,-0.08600832296755961
55063010600,4.341512662546292,0.12,0.10318055366513951,0.01681944633486049
55063000400,4.674462089507571,0.02,0.10504287528565182,-0.08504287528565181
55063010203,4.442178651436023,0.06,0.1037436195015057,-0.043743619501505696
55063010300,4.659314934223205,0.03,0.10495815108284184,-0.07495815108284185
55063010800,4.286322732860254,0.73,0.10287185393188897,0.6271281460681111
55063010402,4.277261331097415,0.02,0.10282116982478869,-0.08282116982478868
55083101200,1.635763126150612,0.05,0.0880461955516268,-0.03804619555162679
55083100800,1.624969609404547,0.06,0.08798582302063608,-0.027985823020636083
55083100700,1.04181452985625,0.05,0.08472399937772987,-0.03472399937772987
55083100500,1.721998663569906,0.19,0.08852854600123765,0.10147145399876235
55083100600,-0.297451634456924,0.17,0.07723293877977581,0.0927670612202242
55083100300,2.561531457621242,0.25,0.0932243945202163,0.1567756054797837
55083101300,1.974550575994076,0.11,0.08994117160958255,0.02005882839041745
55083101100,1.553166374027884,0.12,0.08758419830878383,0.03241580169121616
55083101000,0.425139729764968,0.05,0.08127468629881394,-0.03127468629881394
55083100900,0.91380369904331,0.04,0.08400798271400273,-0.044007982714002726
55083990000,1.406489749798381,0.13,0.08676377626745642,0.043236223732543586
55093960400,5.837863260738839,0.0,0.1115502514186803,-0.1115502514186803
55093960600,5.801099499832661,0.09,0.11134461674493484,-0.021344616744934847
55093960700,5.613267141698968,0.07,0.11029399393781143,-0.040293993937811426
