GEOID10,nitr_mean,canrate,predicted_cancer,residual
55037190100,3.215954990893718,0.03,0.09172642295620939,-0.06172642295620939
55037190200,2.894324621752073,0.11,0.08946443985578377,0.02053556014421623
55019950300,4.677088588599322,0.09,0.10200237890618567,-0.012002378906185676
55019950700,4.363084919977263,0.01,0.09979403336409559,-0.0897940333640956
55019950600,3.753968756179997,0.13,0.09551020136034996,0.03448979863965004
55019950800,4.461254687094442,0.28,0.10048444812431986,0.17951555187568016
55019950200,5.157976783379497,0.14,0.1053844008610462,0.03461559913895382
55019950500,5.152262324530596,0.1,0.10534421184102677,-0.005344211841026764
55019950400,4.912058638264924,0.15,0.10365489164267944,0.04634510835732056
55019950100,5.438322414213022,0.05,0.10735603395314491,-0.05735603395314491
55031021100,-0.50408639202644,0.01,0.06556387256177341,-0.05556387256177341
55031990000,1.91362548758499,0.07,0.08256731482990964,-0.012567314829909637
55031020900,0.130875656458847,0.01,0.07002947519413186,-0.060029475194131855
55031020600,-0.368735399850787,0.01,0.0665157778739,-0.056515777873900004
55031020500,-0.637368367834598,0.01,0.06462651836330649,-0.05462651836330649
55031020400,-0.61580513004948,0.01,0.06477816971261957,-0.05477816971261957
55049950600,6.17233130191132,0.15,0.11251821967573927,0.03748178032426072
55049950400,7.540164244322075,0.13,0.12213800467364155,0.00786199532635845
55049950300,5.485405804572151,0.52,0.10768716510095076,0.41231283489904924
55049950500,7.124646628728938,0.63,0.11921572520448205,0.5107842747955179
55049950200,6.586608361925987,0.61,0.1154317744844722,0.4945682255155278
55049950100,7.289777790498293,0.58,0.1203770704414781,0.45962292955852185
55031020300,-1.007179298287741,0.01,0.062025687859426776,-0.052025687859426774
55031020800,0.518858880305869,0.02,0.07275810899178209,-0.052758108991782085
55031020700,0.950888745792697,0.04,0.07579651689218773,-0.035796516892187734
55031030200,1.258437788742848,0.11,0.07795946792060551,0.03204053207939449
55031030300,2.037399797782687,0.54,0.08343780289570149,0.4565621971042986
55031030100,1.539288046578584,0.16,0.07993464998649694,0.08006535001350307
55031021000,0.726899330029944,0.01,0.07422122947613399,-0.064221229476134
55059002300,4.967135616794195,0.01,0.1040422406202906,-0.09404224062029061
55059002200,4.720870699009524,0.01,0.10231029259640449,-0.0923102925964045
55059002100,4.753212343017408,0.01,0.10253774702609983,-0.09253774702609983
55059001800,4.617393017723129,0.01,0.1015825479901793,-0.0915825479901793
55059001700,4.725943109972363,0.01,0.10234596618004951,-0.09234596618004952
55059001300,5.311071065796694,0.01,0.10646109234550916,-0.09646109234550916
55059001200,4.826062027137894,0.01,0.10305008905024282,-0.09305008905024283
55059001100,4.742611060535888,0.01,0.10246318963315204,-0.09246318963315205
55059000900,4.806598115191957,0.01,0.10291320197702464,-0.09291320197702464
55059000800,4.999429707013035,0.01,0.10426936061058749,-0.0942693606105875
55047100600,3.776394882904927,0.44,0.09566792129144719,0.3443320787085528
55047100500,4.209344684888241,0.28,0.09871279898142546,0.18128720101857457
55047100400,2.688226651693238,0.28,0.08801498056949417,0.19198501943050586
55047100300,2.919083723079615,0.49,0.08963856728328413,0.40036143271671587
55015020800,0.386712076820495,0.01,0.07182873830748723,-0.06182873830748723
55015020700,1.126487330703493,0.01,0.07703147810740789,-0.0670314781074079
55047100200,2.02873930929395,0.01,0.08337689484570847,-0.07337689484570847
55047100100,1.872039997242451,0.08,0.08227484967300057,-0.0022748496730005674
55015020308,0.905606172737799,0.03,0.07547805065012445,-0.045478050650124446
55015020303,-0.021185098681756,0.01,0.06896005236791074,-0.058960052367910736
55015020304,0.656203791528083,0.01,0.07372403726821698,-0.06372403726821699
55015020306,1.418423377633954,0.14,0.07908462503605176,0.06091537496394825
55061960500,2.744409216715704,0.14,0.08841010498811963,0.05158989501188038
55051180300,1.112010576481198,0.11,0.07692966504327704,0.03307033495672296
55061960400,2.532822249558561,0.24,0.08692204232395935,0.15307795767604065
55051180100,1.76993868000124,0.01,0.08155678484987093,-0.07155678484987094
55061960200,2.99604612763705,0.14,0.0901798335167609,0.049820166483239114
55051180200,1.376531506443955,0.12,0.07879000514387592,0.041209994856124074
55051990000,1.536793994398011,0.05,0.07991710965316619,-0.029917109653166185
55057100300,4.172156120137308,0.09,0.09845125681045389,-0.008451256810453889
55057100500,4.294868946270592,0.01,0.09931427960167766,-0.08931427960167766
55057100600,4.434931275889811,0.08,0.10029931911598233,-0.02029931911598233
55055101702,3.397947583791298,0.26,0.09300635236908045,0.16699364763091956
55055100300,3.711298340121509,0.05,0.0952101060668924,-0.045210106066892394
55055100200,3.389867039638661,0.01,0.09294952298955297,-0.08294952298955298
55055100100,3.496367527294669,0.02,0.09369852658615951,-0.07369852658615951
55055100400,4.623492875676885,0.39,0.10162544747023528,0.28837455252976474
55061960100,2.871019975730226,0.01,0.08930054141670446,-0.07930054141670446
55057100200,4.044611058163084,0.11,0.09755424955489408,0.012445750445105916
55057100400,4.264346920841569,0.04,0.09909962230455904,-0.05909962230455904
55057100700,4.62347604027608,0.13,0.10162532906912716,0.028374670930872842
55057100100,3.533029527812696,0.38,0.09395636550174727,0.28604363449825276
55055101100,4.883302911121658,0.03,0.10345265648369209,-0.07345265648369209
55055101202,5.506947821666538,0.07,0.10783866720800186,-0.03783866720800186
55055101500,5.242032791067788,0.02,0.105975555450669,-0.085975555450669
55055101400,5.508685609316705,0.01,0.10785088883467006,-0.09785088883467007
55055101300,5.389317925845922,0.01,0.10701139198159475,-0.09701139198159475
55055100900,4.802042820247174,0.47,0.10288116520073995,0.36711883479926
