GEOID10,canrate,nitr_mean,nitr_min,nitr_max,nitr_std,nitr_count
55081950100,0.25,4.0586511808562244,3.0554625836904217,5.011046140955225,0.40205472394771535,385
55081950900,0.12,4.631793229877872,4.437007881664131,5.226314369522166,0.10482196465553349,386
55081950400,0.01,5.527998480722376,5.279568886665852,5.780906534644473,0.16229518791133787,10
55081950800,0.24,4.631295115704841,3.8914027702186647,5.1094132275097355,0.24846281640551643,417
55081950500,0.04,4.252070959262201,3.7466469118259864,4.728180555525556,0.26589868349730716,29
55081950200,0.35,4.747405293188682,3.985786472583318,6.066131438925902,0.5481981034001517,677
55025011505,0.01,9.715086531683644,9.675621880625945,9.765430470532767,0.037462558040434156,3
55025010300,0.01,11.501405892590038,11.12164341809704,11.719581371323319,0.2695245404734008,3
55025011102,0.01,9.318550674112242,9.08167794129171,9.887492826948195,0.23064034050267035,20
55025011101,0.01,9.906485814806382,9.49284795259093,10.430967704156858,0.33676981247850823,4
55025011800,0.56,8.299521406306017,5.025913684391825,10.518369555630663,1.3988230661313459,171
55025011000,0.0,10.365835551066192,10.158739674449965,10.57293142768242,0.20709587661622741,2
55025010800,0.03,9.641318084347924,9.011000309367885,9.947596387364745,0.2707817514151929,19
55025010400,0.02,10.234098880867942,10.234098880867942,10.234098880867942,0.0,1
55075960700,0.2,2.172529944524056,1.0956812904398177,2.4442729056130945,0.20153457124483812,494
55075960200,0.51,1.907881617274589,0.6309713803028353,2.6748643314646188,0.3836294695618395,1410
55075960600,0.14,0.4261638955914043,-1.2312256963114063,2.4138443815905264,1.1486939642563656,354
55025010200,0.01,10.239623539685486,10.130743333064219,10.348503746306754,0.10888020662126774,2
55025010100,0.01,9.631968964545928,9.631968964545928,9.631968964545928,0.0,1
55025003200,0.01,9.522605442241595,9.46524527564549,9.5799656088377,0.05736016659610499,2
55025003001,0.01,11.185738958072848,11.1449811494398,11.226496766705896,0.04075780863304779,2
55025002601,0.01,10.883632330660294,10.883632330660294,10.883632330660294,0.0,1
55025002401,0.01,9.91657934992093,9.756626070540174,10.203917097138028,0.2036130604900736,3
55025002302,0.01,10.161662851109519,10.092865039601223,10.25078038547309,0.056759531892512385,4
55025002301,0.01,10.188358804649187,10.075166905551697,10.301550703746676,0.11319189909748939,2
55025002200,0.01,10.479077899096914,10.479077899096914,10.479077899096914,0.0,1
55025001900,0.01,7.842813960300518,6.130773655629617,9.554854264971418,1.7120403046709005,2
55025001501,0.01,,,,,0
55025001401,0.01,9.572807326659762,8.853635630889363,10.196361768293816,0.45849469755364414,5
55017011000,0.32,4.594741577218121,0.05731522026060814,6.0787629876019995,0.7022760301588781,552
55017010900,0.32,4.763813095766125,0.08951706179952416,6.68684159669741,1.1492205093644676,509
55017010400,0.24,4.7923546126152115,1.0062307748324544,7.846529911449063,1.127243244309776,276
55017011100,0.37,3.963171875604364,-0.7721356320420711,5.442015107926948,1.311081222866434,539
55017011200,0.19,4.721849881730619,3.076415757493622,5.313198497931147,0.3744009077491564,281
55017010800,0.2,4.982505407933857,4.635996968986206,6.217319208839225,0.3277105880551499,333
55017010700,0.12,4.319871184148116,0.1853633463679753,6.351217416478316,1.2540415132824851,108
55017010200,0.01,4.493009367282609,1.563886186179623,4.900998786553511,0.7042653732339286,34
55017010300,0.01,2.1147714657584173,0.8059384755781002,3.3086361324767695,0.8361117691966403,6
55017010500,0.03,0.4459981367041863,-0.5439405081179226,4.073663138402882,1.2007166521834467,27
55017010100,0.02,5.347547128623693,4.898026701003286,5.84906932801493,0.32387996783597,21
55025001300,0.01,10.020099654589483,9.970946421178992,10.069252887999976,0.04915323341049227,2
55025001200,0.01,9.876479162672247,9.614446097236996,10.138512228107496,0.26203306543524985,2
55025000800,0.01,9.506165183189076,9.44234022069519,9.565033666917396,0.05407668551197197,4
55025001000,0.0,9.527214798156226,9.524082058735504,9.53034753757695,0.0031327394207236736,2
55025000700,0.01,10.149416959946421,10.149416959946421,10.149416959946421,0.0,1
55025000501,0.01,10.065547950127222,9.995697745087904,10.200222571552734,0.07928228644042333,4
55025000504,0.01,9.741318645389214,9.616008686241418,9.86981158707938,0.09422469746637725,6
55025010702,0.25,9.883641865050661,9.144541729426875,11.004281013788846,0.38898505957723356,63
55025000402,0.01,9.900770038830647,9.87160091985402,9.929939157807274,0.029169118976627217,2
55025000401,0.01,9.751159069816241,9.650802661067889,9.851515478564593,0.10035640874835217,2
55025000300,0.01,9.792993770257434,9.768674425338478,9.81731311517639,0.02431934491895582,2
55025000205,0.02,10.13996153418599,9.961658252225886,10.466144806936871,0.20336827569342114,4
55091950100,0.09,4.953122267082803,3.7727478393691167,5.534369300676093,0.2697609293312654,245
55091950200,0.12,5.056666324790653,4.317591822284589,7.05058299218225,0.5142440372211177,405
55025000204,0.01,10.140432668380408,10.077475863983233,10.203389472777582,0.06295680439717444,2
55025000202,0.01,10.075721329393108,10.049344044625188,10.085595713899595,0.015246436340210239,4
55025000201,0.01,10.032027559311514,10.032027559311514,10.032027559311514,0.0,1
55025000100,0.0,9.850816051482532,9.850816051482532,9.850816051482532,0.0,1
55025001403,0.05,11.409089497329202,9.853069785143417,11.917720123293599,0.555281794142115,13
55025010701,0.0,10.746351975207055,10.180840607670605,11.421316382803063,0.3923562085685409,8
55025000600,0.01,10.431285806573698,10.349127274360132,10.513444338787265,0.08215853221356628,2
55079186200,0.01,1.4879472113150796,1.4879472113150796,1.4879472113150796,0.0,1
55079186100,0.01,1.5905432595832913,1.5905432595832913,1.5905432595832913,0.0,1
